"fecha";"ganadero";"ruta";"litros_leche";"kg_mg_leche";"kg_mp_leche"
2020-01-01;1;"ruta01";649;24,7774965612995;20,7019240340326
2020-01-01;2;"ruta01";649;24,9849113385196;21,0267274293084
2020-01-01;3;"ruta01";648;24,829684000254;21,0487555368485
2020-01-01;4;"ruta01";648;24,6702578664285;20,8241991055472
2020-01-01;5;"ruta01";648;24,7459664994473;20,7012597676999
2020-01-01;6;"ruta01";648;24,325610385815;21,0972299389934
2020-01-01;7;"ruta01";648;24,5619272313753;20,7134203258215
2020-01-01;8;"ruta01";648;25,3681616928912;20,8851707562503
2020-01-01;9;"ruta01";649;24,3773827296944;20,7283343409732
2020-01-01;10;"ruta01";649;24,6499430872411;20,8844947909215
2020-01-02;1;"ruta01";648;24,7837870643434;20,8292927630868
2020-01-02;2;"ruta01";650;25,0888793094384;20,8344302754565
2020-01-02;3;"ruta01";648;25,3176509104778;20,7028489434701
2020-01-02;4;"ruta01";647;24,5810914029764;20,8057281302607
2020-01-02;5;"ruta01";648;24,3119832652722;21,041363752269
2020-01-02;6;"ruta01";649;24,715436908479;20,9183100626022
2020-01-02;7;"ruta01";644;24,7818722153366;20,4594774639961
2020-01-02;8;"ruta01";647;24,6288395061173;20,7483324681028
2020-01-02;9;"ruta01";649;25,5194603370121;21,1378890353772
2020-01-02;10;"ruta01";646;24,671629771732;20,7138257178196
2020-01-03;1;"ruta01";649;24,4826323261224;21,0976567218647
2020-01-03;2;"ruta01";649;25,2046334092736;20,8372160653337
2020-01-03;3;"ruta01";648;24,8123990494287;20,6472086377441
2020-01-03;4;"ruta01";648;24,759045434615;20,7690072059825
2020-01-03;5;"ruta01";649;24,9347714319273;20,9742131781686
2020-01-03;6;"ruta01";649;24,5155234912176;21,0909312112468
2020-01-03;7;"ruta01";648;24,8157598811846;20,9434676934443
2020-01-03;8;"ruta01";649;24,7470721362927;20,7009545116982
2020-01-03;9;"ruta01";649;24,5732847333361;20,7157134994366
2020-01-03;10;"ruta01";646;24,4811123823522;20,6081959194987
2020-01-04;1;"ruta01";648;24,4390088563696;20,7299072889003
2020-01-04;2;"ruta01";648;25,4231260966236;20,8750731336832
2020-01-04;3;"ruta01";648;24,7730534259552;20,7767266124674
2020-01-04;4;"ruta01";649;24,4002630265955;20,7236349478993
2020-01-04;5;"ruta01";647;24,7333898047325;20,7868220957401
2020-01-04;6;"ruta01";646;24,7441393587588;21,1287800143809
2020-01-04;7;"ruta01";650;24,8680273699361;20,7827694541461
2020-01-04;8;"ruta01";649;25,3433938742346;20,9731497109126
2020-01-04;9;"ruta01";647;24,5922437492307;20,9077003075787
2020-01-04;10;"ruta01";649;24,5470879876149;20,9945578792288
2020-01-05;1;"ruta01";648;25,4056227969875;20,8185265944516
2020-01-05;2;"ruta01";648;25,3775164842557;20,5403511871848
2020-01-05;3;"ruta01";647;25,0992230543991;20,833457789042
2020-01-05;4;"ruta01";649;24,7981907494724;20,7654300002673
2020-01-05;5;"ruta01";647;24,5068032596822;20,9397791356535
2020-01-05;6;"ruta01";649;25,161866577546;20,8905244549633
