;fecha;cuba;producto;pH_entrada_a_sal;pH_leche_cuba_llena;pH_medio_prensado;pH_moldeo;pH_sortie_saumure;pH_suero_corte;pH_suero_vaciado
0;2009-01-05 00:00:00;C01;FEFP;5,59;6,48;5,95;6,36;5,11;6,47;6,45
1;2009-01-05 00:00:00;C02;FEFG;5,49;6,49;5,97;6,42;5,2;6,48;6,46
2;2009-01-05 00:00:00;C03;FEFG;5,3;6,48;5,7;6,4;5,2;6,48;6,45
3;2009-01-05 00:00:00;C04;FEFP;5,69;6,48;5,99;6,44;5,17;6,48;6,44
4;2009-01-05 00:00:00;C05;FEFG;5,3;6,49;5,84;6,4;5,14;6,48;6,44
5;2009-01-05 00:00:00;C06;FEFG;5,3;6,5;5,93;6,46;5,23;6,49;6,45
6;2009-01-05 00:00:00;C07;FEFP;5,28;6,48;5,8;6,42;5,22;6,48;6,46
7;2009-01-05 00:00:00;C08;FEFG;5,4;6,49;5,82;6,49;5,43;6,48;6,45
8;2009-01-05 00:00:00;C09;FEFG;5,3;6,49;5,76;6,39;5,38;6,47;6,46
9;2009-01-05 00:00:00;C10;FEFP;5,42;6,5;6,24;6,4;5,55;6,48;6,45
10;2009-01-05 00:00:00;C11;FEFG;5,47;6,51;5,8;6,42;5,37;6,49;6,45
11;2009-01-05 00:00:00;C12;FEFG;5,38;6,51;5,8;6,38;5,37;6,48;6,45
12;2009-01-05 00:00:00;C13;FEFP;5,83;6,5;5,79;6,43;5,51;6,48;6,47
13;2009-01-05 00:00:00;C14;FEFG;5,28;6,5;5,6;6,32;5,3;6,48;6,45
14;2009-01-06 00:00:00;C01;FEFG;5,19;6,5;5,55;6,37;5,23;6,49;6,45
15;2009-01-06 00:00:00;C02;FEFP;5,34;6,49;5,64;6,35;5,28;6,48;6,44
16;2009-01-06 00:00:00;C03;FEFG;5,2;6,49;5,7;6,35;5,18;6,47;6,44
17;2009-01-06 00:00:00;C04;FEFG;5,34;6,49;5,5;6,36;5,2;6,48;6,45
18;2009-01-06 00:00:00;C05;FEFP;5,34;6,48;5,4;6,32;5,27;6,47;6,44
19;2009-01-06 00:00:00;C06;FEFG;5,24;6,48;5,94;6,4;5,25;6,47;6,45
20;2009-01-06 00:00:00;C07;FEFG;5,26;6,48;5,65;6,36;5,23;6,48;6,45
21;2009-01-06 00:00:00;C08;FEFP;5,28;6,47;5,67;6,39;5,24;6,46;6,43
22;2009-01-06 00:00:00;C09;FEFG;5,24;6,47;5,65;6,3;5,3;6,44;6,44
23;2009-01-06 00:00:00;C10;FEFG;5,3;6,49;5,65;6,22;5,24;6,44;6,43
