fecha;pH_entrada_a_sal
30/05/2007;
30/05/2007;5,25
31/05/2007;
01/06/2007;
01/06/2007;
01/06/2007;
01/06/2007;
04/06/2007;5,2
04/06/2007;
04/06/2007;
11/06/2007;5,21
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
11/06/2007;
12/06/2007;5,15
12/06/2007;
13/06/2007;
14/06/2007;
15/06/2007;
02/07/2007;
02/07/2007;
02/07/2007;5,2
02/07/2007;
03/07/2007;5,25
03/07/2007;
03/07/2007;5,1
03/07/2007;
03/07/2007;
03/07/2007;5,29
03/07/2007;5,14
03/07/2007;
03/07/2007;5,26
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;5,2
03/07/2007;5,27
03/07/2007;
03/07/2007;
03/07/2007;
03/07/2007;
04/07/2007;5,14
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;5,2
04/07/2007;5,19
04/07/2007;
04/07/2007;5,3
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
04/07/2007;
08/07/2007;
08/07/2007;
09/07/2007;5,3
09/07/2007;5,35
09/07/2007;5,33
09/07/2007;5,33
09/07/2007;5,29
09/07/2007;5,25
09/07/2007;5,24
09/07/2007;5,25
09/07/2007;
10/07/2007;5,34
10/07/2007;5,3
10/07/2007;5,38
10/07/2007;5,4
10/07/2007;5,6
10/07/2007;5,51
10/07/2007;5,51
10/07/2007;5,66
10/07/2007;5,58
10/07/2007;5,5
10/07/2007;5,49
10/07/2007;5,5
10/07/2007;5,25
10/07/2007;5,27
10/07/2007;5,26
10/07/2007;5,28
10/07/2007;5,25
10/07/2007;5,2
10/07/2007;5,22
10/07/2007;5,15
10/07/2007;5,25
10/07/2007;5,22
10/07/2007;5,27
10/07/2007;5,3
10/07/2007;5,46
10/07/2007;5,31
10/07/2007;5,4
10/07/2007;5,28
10/07/2007;
11/07/2007;5,54
11/07/2007;5,53
11/07/2007;5,27
11/07/2007;5,28
11/07/2007;5,25
11/07/2007;5,37
11/07/2007;5,27
11/07/2007;5,31
11/07/2007;5,27
11/07/2007;5,27
11/07/2007;5,24
11/07/2007;5,09
11/07/2007;5,2
11/07/2007;5,23
11/07/2007;5,27
11/07/2007;5,25
11/07/2007;5,25
11/07/2007;5,23
11/07/2007;5,25
11/07/2007;5,17
11/07/2007;5,17
11/07/2007;5,26
11/07/2007;5,26
11/07/2007;5,26
11/07/2007;5,21
11/07/2007;5,2
11/07/2007;5,23
11/07/2007;5,29
11/07/2007;5,3
11/07/2007;5,31
11/07/2007;
16/07/2007;5,29
16/07/2007;5,26
16/07/2007;5,3
16/07/2007;5,32
16/07/2007;5,35
16/07/2007;5,38
16/07/2007;5,44
16/07/2007;5,45
16/07/2007;
16/07/2007;5,37
16/07/2007;5,37
16/07/2007;
17/07/2007;5,35
17/07/2007;5,22
17/07/2007;5,35
17/07/2007;
17/07/2007;5,25
17/07/2007;5,2
17/07/2007;5,28
17/07/2007;5,38
17/07/2007;5,32
17/07/2007;5,33
17/07/2007;5,23
17/07/2007;5,23
17/07/2007;5,21
17/07/2007;5,21
17/07/2007;5,38
17/07/2007;5,33
17/07/2007;5,25
17/07/2007;5,31
17/07/2007;5,35
17/07/2007;5,44
17/07/2007;
17/07/2007;5,32
17/07/2007;5,35
17/07/2007;5,34
17/07/2007;5,25
17/07/2007;5,32
17/07/2007;
18/07/2007;5,32
18/07/2007;5,27
18/07/2007;5,25
18/07/2007;5,25
18/07/2007;5,31
18/07/2007;5,3
18/07/2007;5,25
18/07/2007;5,24
18/07/2007;5,25
18/07/2007;5,17
18/07/2007;5,21
18/07/2007;5,15
18/07/2007;5,27
18/07/2007;5,23
18/07/2007;5,16
18/07/2007;5,18
18/07/2007;5,15
18/07/2007;5,17
18/07/2007;5,2
18/07/2007;5,39
18/07/2007;5,26
18/07/2007;
18/07/2007;5,39
18/07/2007;7,09
18/07/2007;5,27
18/07/2007;5,21
18/07/2007;5,35
18/07/2007;5,54
18/07/2007;
23/07/2007;5,45
23/07/2007;5,46
23/07/2007;5,35
23/07/2007;5,41
23/07/2007;5,35
23/07/2007;5,28
23/07/2007;5,35
23/07/2007;5,28
23/07/2007;5,22
23/07/2007;5,19
23/07/2007;5,2
23/07/2007;5,21
23/07/2007;5,2
23/07/2007;5,21
23/07/2007;5,28
23/07/2007;5,28
23/07/2007;5,24
23/07/2007;
24/07/2007;5,22
24/07/2007;5,23
24/07/2007;5,26
24/07/2007;5,22
24/07/2007;5,26
24/07/2007;5,27
24/07/2007;5,31
24/07/2007;5,21
24/07/2007;5,21
24/07/2007;5,27
24/07/2007;5,25
24/07/2007;5,28
24/07/2007;5,27
24/07/2007;5,4
24/07/2007;5,41
24/07/2007;5,37
24/07/2007;5,35
24/07/2007;5,29
24/07/2007;5,28
24/07/2007;5,16
24/07/2007;5,17
24/07/2007;5,2
24/07/2007;5,23
24/07/2007;5,3
24/07/2007;5,24
24/07/2007;5,22
24/07/2007;5,2
24/07/2007;
25/07/2007;5,27
25/07/2007;5,29
25/07/2007;5,13
25/07/2007;5,43
25/07/2007;5,24
25/07/2007;5,26
25/07/2007;5,16
25/07/2007;5,23
25/07/2007;5,22
25/07/2007;5,24
25/07/2007;5,23
25/07/2007;5,27
25/07/2007;5,46
25/07/2007;5,48
25/07/2007;5,33
25/07/2007;5,41
25/07/2007;5,4
25/07/2007;5,38
25/07/2007;5,35
25/07/2007;5,39
25/07/2007;5,46
25/07/2007;5,37
25/07/2007;5,42
25/07/2007;5,34
25/07/2007;5,4
25/07/2007;5,36
25/07/2007;5,25
25/07/2007;5,21
25/07/2007;
25/07/2007;
25/07/2007;
25/07/2007;5,15
25/07/2007;
30/07/2007;5,18
30/07/2007;5,22
30/07/2007;5,2
30/07/2007;5,21
30/07/2007;5,19
30/07/2007;5,19
30/07/2007;5,22
30/07/2007;5,15
30/07/2007;5,11
30/07/2007;5,22
30/07/2007;5,16
30/07/2007;5,17
30/07/2007;5,26
30/07/2007;5,29
30/07/2007;5,27
30/07/2007;5,3
30/07/2007;5,27
30/07/2007;
31/07/2007;5,31
31/07/2007;5,26
31/07/2007;5,22
31/07/2007;5,32
31/07/2007;5,32
31/07/2007;5,52
31/07/2007;5,29
31/07/2007;5,3
31/07/2007;5,26
31/07/2007;5,24
31/07/2007;5,25
31/07/2007;5,36
31/07/2007;5,36
31/07/2007;5,27
31/07/2007;5,26
31/07/2007;5,29
31/07/2007;5,24
31/07/2007;5,28
31/07/2007;5,29
31/07/2007;5,15
31/07/2007;5,13
31/07/2007;5,1
31/07/2007;5,18
31/07/2007;5,26
31/07/2007;5,16
31/07/2007;5,19
31/07/2007;5,13
31/07/2007;5,24
31/07/2007;
01/08/2007;5,21
01/08/2007;5,31
01/08/2007;5,33
01/08/2007;5,37
01/08/2007;5,33
01/08/2007;5,39
01/08/2007;5,27
01/08/2007;5,23
01/08/2007;5,27
01/08/2007;5,31
01/08/2007;5,59
01/08/2007;5,52
01/08/2007;5,38
01/08/2007;5,38
01/08/2007;5,28
01/08/2007;5,18
01/08/2007;5,16
01/08/2007;5,15
01/08/2007;5,2
01/08/2007;5,32
01/08/2007;5,26
01/08/2007;5,25
01/08/2007;5,26
01/08/2007;
01/08/2007;
01/08/2007;
01/08/2007;
01/08/2007;
01/08/2007;
01/08/2007;
01/08/2007;
01/08/2007;
02/08/2007;
02/08/2007;
06/08/2007;5,22
06/08/2007;5,24
06/08/2007;29,04
06/08/2007;5,23
06/08/2007;
06/08/2007;5,32
06/08/2007;
07/08/2007;5,28
07/08/2007;5,22
07/08/2007;5,2
07/08/2007;5,21
07/08/2007;5,2
07/08/2007;5,22
07/08/2007;5,15
07/08/2007;5,21
07/08/2007;5,21
07/08/2007;5,22
07/08/2007;5,15
07/08/2007;5,21
07/08/2007;5,2
07/08/2007;5,31
07/08/2007;5,25
07/08/2007;5,3
07/08/2007;5,23
07/08/2007;5,24
07/08/2007;5,25
07/08/2007;5,25
07/08/2007;
07/08/2007;5,26
07/08/2007;5,2
07/08/2007;5,3
07/08/2007;5,35
07/08/2007;5,3
07/08/2007;
08/08/2007;5,24
08/08/2007;
08/08/2007;
08/08/2007;
08/08/2007;
08/08/2007;5,21
08/08/2007;
08/08/2007;5,22
08/08/2007;5,21
08/08/2007;5,22
08/08/2007;5,25
08/08/2007;5,22
08/08/2007;5,19
08/08/2007;5,19
08/08/2007;5,23
08/08/2007;5,24
08/08/2007;5,32
08/08/2007;5,31
08/08/2007;5,27
08/08/2007;5,32
08/08/2007;
08/08/2007;5,26
08/08/2007;5,25
08/08/2007;5,26
08/08/2007;5,25
08/08/2007;5,32
08/08/2007;
09/08/2007;5,31
09/08/2007;5,25
09/08/2007;5,25
09/08/2007;5,24
09/08/2007;5,3
09/08/2007;5,29
09/08/2007;5,28
09/08/2007;5,27
09/08/2007;5,26
09/08/2007;5,14
09/08/2007;5,19
09/08/2007;5,13
09/08/2007;5,11
09/08/2007;5,16
09/08/2007;5,14
09/08/2007;5,28
09/08/2007;5,23
09/08/2007;5,24
09/08/2007;5,27
09/08/2007;5,24
09/08/2007;5,26
09/08/2007;
09/08/2007;5,43
09/08/2007;5,22
09/08/2007;5,22
09/08/2007;5,18
09/08/2007;5,23
09/08/2007;5,3
09/08/2007;
20/08/2007;5,3
20/08/2007;5,33
20/08/2007;5,32
20/08/2007;5,29
20/08/2007;5,21
20/08/2007;5,26
20/08/2007;5,32
20/08/2007;5,24
20/08/2007;5,22
20/08/2007;5,24
20/08/2007;5,22
20/08/2007;5,25
20/08/2007;5,27
20/08/2007;5,17
20/08/2007;5,16
20/08/2007;5,18
20/08/2007;5,37
20/08/2007;5,21
20/08/2007;5,4
20/08/2007;5,25
20/08/2007;
20/08/2007;5,32
